Data Type Code,Data Type Description,Data Time,Data Value,Unit
QCO,MANUAL-Observed Discharge 4,2009-08-30T08:00:00,0.793,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-09-06T08:00:00,0.675,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-09-13T08:00:00,0.117,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-09-20T08:00:00,2.487,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-09-21T08:00:00,7.54,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-09-25T08:00:00,48.27,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-09-27T08:00:00,21.2,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-09-28T08:00:00,12.76,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-10-02T08:00:00,6.449,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-10-04T08:00:00,7.167,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-10-11T08:00:00,2.072,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-10-17T08:00:00,7.923,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-10-18T08:00:00,7.167,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-10-25T08:00:00,1.064,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-11-01T08:00:00,0.701,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-11-02T08:00:00,0.701,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-11-08T08:00:00,0.227,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-11-15T08:00:00,0.401,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-11-22T08:00:00,9.627,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-11-28T08:00:00,0.701,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-11-29T08:00:00,0.701,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-12-06T08:00:00,0.532,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-12-13T08:00:00,0.39,m3/sec
QCO,MANUAL-Observed Discharge 4,2009-12-20T08:00:00,0.39,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-06-02T08:00:00,0.078,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-07-18T08:00:00,0.783,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-07-25T08:00:00,0.545,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-08-01T08:00:00,0.443,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-08-08T08:00:00,0.29,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-08-22T08:00:00,4.29,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-08-29T08:00:00,1.169,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-09-05T08:00:00,0.774,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-09-11T08:00:00,0.457,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-09-12T08:00:00,0.457,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-09-19T08:00:00,0.553,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-09-26T08:00:00,0.774,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-10-02T08:00:00,0.553,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-10-03T08:00:00,0.553,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-10-10T08:00:00,5.136,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-10-15T08:00:00,2.817,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-10-17T08:00:00,2.192,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-10-24T08:00:00,1.817,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-10-31T08:00:00,1.476,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-11-04T08:00:00,57.18,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-11-05T08:00:00,47.34,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-11-07T08:00:00,28.32,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-11-14T08:00:00,23.22,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-11-17T08:00:00,11.41,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-11-21T08:00:00,6.555,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-11-28T08:00:00,5.496,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-12-05T08:00:00,3.395,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-12-12T08:00:00,2.875,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-12-17T08:00:00,2.551,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-12-18T08:00:00,2.246,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-12-19T08:00:00,1.959,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-12-20T08:00:00,1.691,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-12-25T08:00:00,1.104,m3/sec
QCO,MANUAL-Observed Discharge 4,2010-12-26T08:00:00,1.104,m3/sec
QCO,MANUAL-Observed Discharge 4,2011-01-02T08:00:00,0.559,m3/sec
QCO,MANUAL-Observed Discharge 4,2011-01-09T08:00:00,0.294,m3/sec
QCO,MANUAL-Observed Discharge 4,2015-11-29T08:00:00,6.531,m3/sec
QCO,MANUAL-Observed Discharge 4,2015-12-06T08:00:00,1.267,m3/sec
QCO,MANUAL-Observed Discharge 4,2015-12-13T08:00:00,0.339,m3/sec
QCO,MANUAL-Observed Discharge 4,2015-12-20T08:00:00,0.078,m3/sec
QCO,MANUAL-Observed Discharge 4,2021-12-05T08:00:00,1.447,m3/sec
QCO,MANUAL-Observed Discharge 4,2021-12-12T08:00:00,2.975,m3/sec
QCO,MANUAL-Observed Discharge 4,2021-12-19T08:00:00,1.775,m3/sec
QCO,MANUAL-Observed Discharge 4,2021-12-25T08:00:00,0.749,m3/sec
QCO,MANUAL-Observed Discharge 4,2021-12-26T08:00:00,0.621,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-01-02T08:00:00,0.749,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-01-09T08:00:00,0.232,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-01-14T08:00:00,0.27,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-01-16T08:00:00,0.196,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-07-15T08:00:00,0,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-07T08:00:00,34.93,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-09T08:00:00,31.02,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-14T08:00:00,23.25,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-15T08:00:00,22.16,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-18T08:00:00,15.82,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-19T08:00:00,14.42,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-20T08:00:00,13.08,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-21T08:00:00,11.82,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-22T08:00:00,10.86,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-23T08:00:00,9.949,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-24T08:00:00,7.665,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-25T08:00:00,5.546,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-26T08:00:00,3.801,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-27T08:00:00,2.622,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-28T08:00:00,2.517,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-08-31T08:00:00,91.94,m3/sec
