Data Type Code,Data Type Description,Data Time,Data Value,Unit
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-09T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-10T08:30:02,68,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-10T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-11T08:30:02,67,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-11T17:30:02,69,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-12T08:30:02,60,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-12T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-13T08:30:02,66,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-13T17:30:02,69,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-14T08:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-14T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-15T08:30:02,66,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-15T17:30:02,68,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-16T08:30:02,67,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-12-16T17:30:02,69,%
